DECL_LAB,PERIOD_LAB,PRCCODE_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Denmark","Jan.-Dec. 2015","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2015","/plasticsprimary","PRODQNT",12008677
"Denmark","Jan.-Dec. 2016","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2016","/plasticsprimary","PQNTFLAG",:U
"Denmark","Jan.-Dec. 2016","/plasticsprimary","PRODQNT",0
"Denmark","Jan.-Dec. 2017","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2017","/plasticsprimary","PRODQNT",16474767
"Denmark","Jan.-Dec. 2018","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2018","/plasticsprimary","PRODQNT",16258960
"Denmark","Jan.-Dec. 2019","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2019","/plasticsprimary","PQNTFLAG",:U
"Denmark","Jan.-Dec. 2019","/plasticsprimary","PRODQNT",0
"Denmark","Jan.-Dec. 2020","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2020","/plasticsprimary","PQNTFLAG",:U
"Denmark","Jan.-Dec. 2020","/plasticsprimary","PRODQNT",0
"Denmark","Jan.-Dec. 2021","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2022","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2008","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2008","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2008","/plasticsprimary","PRODQNT",0
"Greece","Jan.-Dec. 2009","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2009","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2009","/plasticsprimary","PRODQNT",9460760
"Greece","Jan.-Dec. 2010","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2010","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2010","/plasticsprimary","PRODQNT",8006087
"Greece","Jan.-Dec. 2011","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2011","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2011","/plasticsprimary","PRODQNT",0
"Greece","Jan.-Dec. 2012","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2012","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2012","/plasticsprimary","PRODQNT",1678862
"Greece","Jan.-Dec. 2013","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2013","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2013","/plasticsprimary","PRODQNT",1797182
"Greece","Jan.-Dec. 2014","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2014","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2014","/plasticsprimary","PRODQNT",11308587
"Greece","Jan.-Dec. 2015","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2015","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2015","/plasticsprimary","PRODQNT",13015447
"Greece","Jan.-Dec. 2016","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2016","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2016","/plasticsprimary","PRODQNT",16589368
"Greece","Jan.-Dec. 2017","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2017","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2017","/plasticsprimary","PRODQNT",8956393
"Greece","Jan.-Dec. 2018","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2018","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2018","/plasticsprimary","PRODQNT",9921531
"Greece","Jan.-Dec. 2019","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2019","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2019","/plasticsprimary","PRODQNT",10350107
"Greece","Jan.-Dec. 2020","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2020","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2020","/plasticsprimary","PRODQNT",13051931
"Greece","Jan.-Dec. 2021","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2021","/plasticsprimary","PQNTFLAG",:C
"Greece","Jan.-Dec. 2021","/plasticsprimary","PRODQNT",22090177
"Greece","Jan.-Dec. 2022","/plasticsprimary","QNTUNIT",kg
"Greece","Jan.-Dec. 2022","/plasticsprimary","PRODQNT",0
"Portugal","Jan.-Dec. 2008","/plasticsprimary","QNTUNIT",kg
"Portugal","Jan.-Dec. 2008","/plasticsprimary","PQNTFLAG",:C
"Portugal","Jan.-Dec. 2008","/plasticsprimary","PRODQNT",508730579
"Portugal","Jan.-Dec. 2009","/plasticsprimary","QNTUNIT",kg
"Portugal","Jan.-Dec. 2009","/plasticsprimary","PQNTFLAG",:C
"Portugal","Jan.-Dec. 2009","/plasticsprimary","PRODQNT",443042568
"Portugal","Jan.-Dec. 2010","/plasticsprimary","QNTUNIT",kg
"Portugal","Jan.-Dec. 2010","/plasticsprimary","PQNTFLAG",:C
"Portugal","Jan.-Dec. 2010","/plasticsprimary","PRODQNT",604775200
"Portugal","Jan.-Dec. 2011","/plasticsprimary","QNTUNIT",kg
"Portugal","Jan.-Dec. 2011","/plasticsprimary","PQNTFLAG",:C
"Portugal","Jan.-Dec. 2011","/plasticsprimary","PRODQNT",570496006
"Portugal","Jan.-Dec. 2012","/plasticsprimary","QNTUNIT",kg
"Portugal","Jan.-Dec. 2012","/plasticsprimary","PQNTFLAG",:C
"Portugal","Jan.-Dec. 2012","/plasticsprimary","PRODQNT",557225695
"Portugal","Jan.-Dec. 2013","/plasticsprimary","QNTUNIT",kg
"Portugal","Jan.-Dec. 2013","/plasticsprimary","PQNTFLAG",:C
