DATAFLOW,LAST UPDATE,freq,unit,hazard,wst_oper,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2018,335807,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2020,271749,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2022,317225,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2010,10011,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2012,20263,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2014,44952,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2016,26435,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2018,41929,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2020,42878,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Croatia,2022,54200,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2010,58081,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2012,91466,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2014,116527,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2016,131694,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2018,133609,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2020,146136,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Hungary,2022,163694,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2010,80910,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2012,73234,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2014,67135,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2016,67098,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2018,59143,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Ireland,2020,9072,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2010,3811,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2012,4903,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2014,4671,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2016,7077,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2018,9514,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Iceland,2020,6398,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2010,1669728,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2012,1403056,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Italy,2014,2076159,,
