DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2013,10190224.2,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2014,10359569.8,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2015,10615103.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2016,10807807.3,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2017,11088028.4,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2018,11283456.5,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2019,11466285.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2020,10777724.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2021,11456928.8,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2022,11859707.1,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2023,11964651.2,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2024,12066911.6,,
